SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
COc1cccc(-c2n[nH]c(Cc3cccc(Br)c3)n2)c1,8.0,344.21,3.83,0.5714285714285714
COc1ccc(NC(=O)Nc2nc3cn(CCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,6.83,493.53,5.23,0.4042857142857143
O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(F)cc3)nn12,6.24,491.53,4.7,0.32
CS(=O)(=O)N1CCN(CCn2ncc3c2nc(N)n2c(=O)n(Cc4cccc(Cl)c4)nc32)CC1,7.98,505.99,0.1,0.5685714285714286
Nc1nc(-c2ccc(C(F)F)o2)nc2sc(CN3CCC(F)(F)CC3)cc12,6.21,400.4,4.7,0.3157142857142857
Nc1nc(-c2ccc(Br)o2)nc2sc(CN3CCOCC3)cc12,7.52,395.28,3.13,0.5028571428571428
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSC(C)C)[C@@H](O)[C@H]3O)c2n1,5.44,405.52,1.71,0.20571428571428577
COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,8.3,406.51,2.52,0.6142857142857144
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18,301.14,3.76,0.45428571428571424
Cc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.08,260.3,3.48,0.29714285714285715
CCSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,5.46,306.39,4.29,0.20857142857142857
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(NC)nc32)[C@H](O)[C@]1(C)O,5.4,553.36,0.84,0.20000000000000004
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@](C)(O)[C@@H]1O,5.9,524.32,0.8,0.27142857142857146
COc1ccc(-c2cc(-c3ccccc3)nc(N)c2C#N)cc1OC,6.8,331.38,3.89,0.39999999999999997
N#Cc1c(-c2cccs2)cc(-c2cccs2)nc1N,7.5,283.38,3.99,0.5
CCCCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,5.11,320.4,3.79,0.1585714285714286
Nc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.26,360.38,2.14,0.4657142857142857
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc2n(C)c1=O,6.37,444.49,2.2,0.3385714285714286
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc2n(CCC)c1=O,7.03,500.6,3.94,0.4328571428571429
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OCCC)cc3)nn12,7.31,350.43,3.8,0.4728571428571428
CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,6.75,422.84,4.05,0.39285714285714285
COc1ccc(NC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1,8.03,434.84,4.84,0.5757142857142856
Nc1nc(-c2ccco2)c2nnn(Cc3cccc(C(=O)O)c3)c2n1,6.08,336.31,1.81,0.29714285714285715
O=C(COc1ccc(Nc2nc(OCCc3c[nH]c4cc(Br)ccc34)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1)Nc1ccccc1,5.94,730.58,4.06,0.2771428571428572
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCC(c5ccccc5)(c5ccccc5)CC4)cc3)cc21,5.45,576.7,5.09,0.20714285714285716
CCCn1c(=O)c2c(nnn2C2CCCC2)n(CCC)c1=O,5.0,305.38,1.69,0.14285714285714285
CCCN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.36,378.23,2.82,0.48000000000000004
CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,8.22,378.23,2.82,0.602857142857143
CC(=O)Nc1cc(-c2cc(F)cc(O[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,8.7,424.48,3.13,0.6714285714285714
Nc1nc(-c2ccccc2)cc2nc(-c3ccco3)nn12,8.15,277.29,2.63,0.5928571428571429
CCCn1c(=O)c2nc(-c3cnn(Cc4cc(C(F)(F)F)ccc4Cl)c3)[nH]c2n(CCC)c1=O,5.85,494.91,4.29,0.26428571428571423
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,6.58,304.39,2.36,0.3685714285714286
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,5.29,587.42,4.0,0.1842857142857143
CCNC(=O)[C@H]1OC(n2cnc3c(NCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)[C@H](O)[C@@H]1O,5.29,598.62,1.89,0.1842857142857143
Cn1cc2c(nc(N)n3nc(-c4ccc(F)cc4)nc23)n1,6.45,283.27,1.4,0.35000000000000003
CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccon4)cc3)nc2n(CCCOC)c1=O,6.67,468.47,1.62,0.3814285714285714
Cn1c(-c2ccco2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21,5.58,350.38,2.57,0.22571428571428573
CCCn1c(=O)c2[nH]c3cnccc3c2n(CCC)c1=O,5.44,286.34,1.86,0.20571428571428577
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42,307.31,1.62,0.3457142857142857
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]cn5)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.96,636.67,-0.71,0.4228571428571429
Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNN3CCCC3)ccc1C2=O,8.39,371.44,3.04,0.6271428571428572
Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C(F)(F)F)n1,7.6,349.29,3.65,0.5142857142857142
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21,5.8,450.72,2.77,0.2571428571428571
