SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,5.47,281.27,-1.59,0.2099999999999999
Cn1cc2c(nc(NC3C4CC5CC(C4)CC3C5)n3nc(-c4ccco4)nc23)n1,6.07,389.46,3.51,0.2957142857142857
Cc1ccc(-c2cc(C(=O)NCc3nccn3C(C)C)nc(N)n2)o1,8.26,340.39,2.33,0.6085714285714285
CC(C)Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.37,439.47,0.34,0.4814285714285714
CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCSCC)c1=O,5.84,358.47,2.72,0.2628571428571428
COc1ccc(-c2cccc(-c3nc(N)nc(SC)n3)c2)cn1,7.64,325.4,2.91,0.5199999999999999
CC(=O)Nc1nc2ccccc2c2cn(-c3ccc(C)cc3)nc12,5.82,316.36,3.84,0.26
O=C(CN1CCCCC1)Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,6.31,391.43,4.77,0.3299999999999999
Cn1c(=O)c2c(nnn2C2CCCCC2)n(C)c1=O,5.08,263.3,0.33,0.1542857142857143
CCc1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,6.75,299.38,4.85,0.3928571428571428
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,9.1,512.55,0.53,0.7285714285714285
CC(=O)Nc1cc(-c2cccc(C#N)c2)nc(-n2nc(C)cc2C)n1,8.7,332.37,2.78,0.6714285714285714
Cn1cc2c(nc(NNC(=S)Nc3ccc(C4c5ccc(O)cc5OC5=CC(=O)C=CC54)c(C(=O)O)c3)n3nc(-c4ccco4)nc23)n1,6.03,661.66,4.15,0.29
O=C(COc1ccccc1)Nc1nc(-c2ccccc2)n[nH]1,5.75,294.31,2.49,0.25
